stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.19537145,0.449094825,I5,ED-US,I5_s15-5,80,304,13718
0.251996378,0.138458819,I5,ED-US,I5_s15-5,160,304,13718
0.19599161,0.444674511,I5,ED-US,I5_s15-5,320,304,13718
0.293983944,0.071833387,I5,ED-US,I5_s15-5,640,304,13718
0.082737574,0.542630168,I5,ED-US,I5_s18-4,20,328,13718
0.070628324,0.80466364,I5,ED-US,I5_s18-4,40,328,13718
0.165704849,0.001785658,I5,ED-US,I5_s18-4,80,328,13718
0.079099437,0.697602509,I5,ED-US,I5_s18-4,160,328,13718
0.069239142,0.820356707,I5,ED-US,I5_s18-4,320,328,13718
0.056002181,0.855831256,I5,ED-US,I5_s18-4,640,328,13718
0.13422534,0.097859828,I5,ED-US,I5_s19-2,20,332,13718
0.188501554,0.003401581,I5,ED-US,I5_s19-2,40,332,13718
0.199849505,0.001464025,I5,ED-US,I5_s19-2,80,332,13718
0.113003542,0.254735538,I5,ED-US,I5_s19-2,160,332,13718
0.106805293,0.322074043,I5,ED-US,I5_s19-2,320,332,13718
0,1,I5,ED-US,I5_s19-2,640,332,13718
0.187619895,0.50531975,I5,ED-US,I5_s22-1,20,345,13718
0.164225373,0.67699202,I5,ED-US,I5_s22-1,40,345,13718
0.265225428,0.097309451,I5,ED-US,I5_s22-1,80,345,13718
0.172361672,0.618130772,I5,ED-US,I5_s22-1,160,345,13718
0.241590357,0.17904884,I5,ED-US,I5_s22-1,320,345,13718
0.358486225,0.014009385,I5,ED-US,I5_s22-1,640,345,13718
0.156802773,0.496193074,I5,ED-US,I5_s24-4,20,353,13718
0.149121914,0.563279804,I5,ED-US,I5_s24-4,40,353,13718
0.166415535,0.415030934,I5,ED-US,I5_s24-4,80,353,13718
0.171748386,0.372335664,I5,ED-US,I5_s24-4,160,353,13718
0.095868263,0.933210096,I5,ED-US,I5_s24-4,320,353,13718
0.081826012,0.917804933,I5,ED-US,I5_s24-4,640,353,13718
0.110659649,0.412787143,I5,ED-US,I5_s25-3,20,361,13718
0.060888953,0.943303904,I5,ED-US,I5_s25-3,40,361,13718
0.093643322,0.43001515,I5,ED-US,I5_s25-3,80,361,13718
0.076974565,0.822024722,I5,ED-US,I5_s25-3,160,361,13718
0.13913513,0.150325479,I5,ED-US,I5_s25-3,320,361,13718
0.115862482,0.339982398,I5,ED-US,I5_s25-3,640,361,13718
0.099210483,0.54862956,I5,ED-US,I5_s26-1,20,363,13718
0.071440565,0.930667384,I5,ED-US,I5_s26-1,40,363,13718
0.083513249,0.850686568,I5,ED-US,I5_s26-1,80,363,13718
0.075024611,0.910697222,I5,ED-US,I5_s26-1,160,363,13718
0.11541478,0.514879649,I5,ED-US,I5_s26-1,320,363,13718
0.085012421,0.7432557,I5,ED-US,I5_s26-1,640,363,13718
0.099400066,0.824737224,I5,ED-US,I5_s26-3,20,363,13718
0.134296569,0.301315201,I5,ED-US,I5_s26-3,40,363,13718
0.063833403,0.98410813,I5,ED-US,I5_s26-3,80,363,13718
